"","KO","S561toS566_AD.AD6","S1001_3_4_AD1_3_4","S1002_5_6_AD2_5_6","S1147_49_50_AD1_3_4","S1148_51_52_AD2_5_6","S1154_57_58_AD2_5_6","F5","F55","F110","F124","F179","S119.full","S370.full","S1273.ADFull","S1554.ADFull","S1813.ADFull"
"1891","K02519",22599,20754,19467,23760,20671,20143,17284,14907,15344,16670,15788,25237,21491,24026,22194,22220
"1892","K02520",5859,5576,5381,6400,5173,5378,4534,3885,4033,4152,3933,6890,5751,6357,5840,5982
"1893","K02521",21,38,137,44,75,362,308,194,178,183,186,71,40,34,65,40
"1894","K02523",3048,3025,2928,3307,1656,2753,4575,4252,3970,4650,4450,5649,4740,5105,5253,4681
"1895","K02525",27,50,78,41,75,427,117,124,172,111,168,187,69,189,143,162
"1896","K02526",14,5,25,14,44,26,109,91,161,139,140,66,66,130,59,70
"1897","K02527",4982,4571,4352,5867,3578,2936,4898,4692,4460,4820,4477,7638,6197,6922,7008,6380
"1898","K02528",9686,8645,7937,10575,9732,8096,6203,5550,5821,5942,5492,10258,8785,10010,9104,9104
"1899","K02529",29451,27678,22049,30086,29530,26573,19179,15415,18147,16018,16208,23614,20407,24229,20566,22388
"1900","K02530",12,13,92,19,30,35,397,387,453,342,433,51,50,56,57,104
"1901","K02531",0,0,12,0,6,0,48,60,25,9,10,0,6,0,2,0
"1902","K02532",66,54,218,87,100,86,457,331,461,360,383,140,126,134,78,117
"1903","K02533",2385,2542,1997,2862,1499,1550,1833,1615,1633,1734,1671,3574,2985,3176,3187,2850
"1904","K02535",963,954,1574,1267,1136,1425,2757,2788,2740,2684,2823,2138,1703,1783,1946,1625
"1905","K02536",6138,5925,4412,6797,5831,3019,4394,4324,3952,4683,4185,8102,6563,7495,7293,6487
"1906","K02538",37,34,446,41,123,287,316,352,385,340,296,48,34,33,20,33
"1907","K02540",10,14,18,17,16,17,8,8,2,3,0,0,0,0,6,4
"1908","K02541",11,24,12,20,4,17,0,8,8,4,3,6,0,0,2,9
"1909","K02542",14,8,15,14,6,9,1,5,0,4,0,7,5,8,4,18
"1910","K02546",1,1,2,2,2,0,2,9,9,4,3,6,0,7,2,3
"1911","K02548",3733,3362,3238,4281,4274,2617,3687,3011,3568,3709,3594,5739,4985,5142,5126,4681
"1912","K02549",1230,1199,1539,1385,1194,1669,2807,1997,2613,2509,2495,1976,1672,1979,1458,1580
"1913","K02550",30,15,34,48,48,4,0,0,0,0,0,57,53,38,68,66
"1914","K02551",1594,1352,2802,1525,2428,2691,4428,3109,3719,3783,3604,2772,2411,2830,2255,2319
"1915","K02552",706,683,1467,808,717,1003,2288,1441,1813,1837,1976,1543,1296,1371,1229,1230
"1916","K02553",219,200,498,287,225,612,995,914,928,985,907,296,232,408,323,248
